#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
0.10000000000000007,-36643.54002236536,-35612.43844126726,28.706716538645203,15.806365842290695,1.8211038002097033
0.20000000000000015,-36279.47396738893,-34295.723144215815,55.2292553983742,15.88369477904053,1.8122378516668538
0.3000000000000002,-36062.33580795444,-33193.565650533325,79.86892196975232,15.974102532272811,1.8019812283504146
0.4000000000000003,-35768.62620256646,-32108.120257051174,101.91149785070007,16.032020987695432,1.795471258738554
0.5000000000000003,-35976.06545878948,-31635.942468162946,120.83259566151223,16.173123051485156,1.7798067084054707
0.6000000000000004,-36068.05550952355,-31094.10284051288,138.4789355030013,16.295438245215315,1.7664473007562302
0.7000000000000005,-36255.171322920454,-30749.721385055658,153.27625685111772,16.415748288854925,1.7535011134669591
0.8000000000000006,-36325.945984434016,-30261.589004642552,168.8366888378039,16.51598052769256,1.742859459941612
0.9000000000000007,-35983.60813287541,-29602.15788892491,177.6648262564595,16.555091562549904,1.738741993310172
1.0000000000000007,-35845.09126823429,-29020.032956292842,190.01523992618755,16.6325035657064,1.7306494352570367
1.0999999999999897,-36559.97606291942,-29253.626738908024,203.41477776937043,16.836289339989857,1.7097017235579164
1.1999999999999786,-36197.036978753145,-28650.189258117945,210.11045104389459,16.836289339989857,1.7097017235579164
1.2999999999999676,-36504.58427906395,-28706.182952198476,217.11391045148847,17.013900563761087,1.691853834164952
1.3999999999999566,-37223.65694191165,-29250.604927906716,221.9763293061397,17.28876131892315,1.6649563477629954
1.4999999999999456,-37344.00529310603,-29139.93345454849,228.40811133403298,17.382987727541995,1.6559312676320184
1.5999999999999346,-37235.98926669858,-28795.036252652964,235.00307819543136,17.425557133246848,1.6518859444660414
1.6999999999999236,-37837.883605471536,-29095.99154121408,243.38146900406528,17.66564163306605,1.6294360262024916
1.7999999999999126,-37898.91701981423,-29076.25078982024,245.63028824937663,17.820513749174935,1.615275143469595
1.8999999999999015,-37898.69417523868,-28820.376332320957,252.74783953567476,17.85720564694195,1.6119561745557809
1.9999999999998905,-37599.92889599785,-28569.898499369763,251.40347729394946,17.85720564694195,1.6119561745557809
2.0999999999998797,-37950.2762642769,-28650.749100629124,258.9064890638242,18.011228207178583,1.5981715722988745
2.1999999999998687,-38534.06979977588,-29253.230814424434,258.38619480105626,18.2857908883306,1.5741748923351253
2.2999999999998577,-38761.66119163924,-29446.178393264596,259.3507070649359,18.530992523665123,1.5533454490438288
2.3999999999998467,-38607.52501505232,-29281.39222845537,259.64721150120295,18.66468305932351,1.5422192175141993
2.4999999999998357,-38985.68529789088,-29397.411806231034,266.94542445270173,18.866107695066535,1.5257536619717107
2.5999999999998247,-38993.09984800575,-29654.874490751718,259.98387861959367,19.08400380634697,1.5083330099382546
2.6999999999998137,-39322.36385656648,-29782.86081316534,265.5876150386824,19.3444767317123,1.488023341345377
2.7999999999998026,-39490.146194811576,-30027.05967907507,263.46011602330896,19.705883578571907,1.4607329221309904
2.8999999999997916,-39588.63166839285,-29782.49341490966,273.0109587085621,19.795869696026738,1.454092866082965
2.9999999999997806,-39256.06650561321,-29543.856200586408,270.39592732773303,19.88283434824547,1.4477328734291108
3.0999999999997696,-39234.69146711702,-29599.62115926528,268.24828632582705,20.218175317568182,1.423720610330659
3.1999999999997586,-39361.790829365564,-29474.894827409284,275.2593208837488,20.225943232289804,1.423173820489441
3.2999999999997476,-39362.665085085326,-29394.20172957048,277.53022313076065,20.366842402509004,1.4133282093523927
3.3999999999997366,-39392.46192168734,-29392.909578508923,278.395766131268,20.48825517820654,1.4049528694624625
3.4999999999997256,-39599.35111355204,-29472.364808780963,281.9436324907989,20.65217650073458,1.3938014185515302
3.5999999999997145,-39449.00479533719,-29469.11861918002,277.84824385758543,20.79675224762462,1.384111930563015
3.6999999999997035,-39473.104012509604,-29467.09184770839,278.5756128812054,20.79675224762462,1.384111930563015
3.7999999999996925,-39390.37163961409,-29447.775068417148,276.8100705688863,21.05990090727567,1.3668171103766176
3.8999999999996815,-39594.59304196537,-29544.729597082976,279.7964686050483,21.173702589803668,1.3594709182683076
3.9999999999996705,-39521.04360197782,-29332.396267026867,283.6603263135059,21.250264641348558,1.3545729142069505
4.099999999999704,-39383.340603825,-29297.542372848995,280.79692262158443,21.432669035420936,1.343044716238026
4.199999999999737,-39637.55278016004,-29347.043347644052,286.4962509347418,21.61551659344689,1.331683782733516
4.299999999999771,-39307.56337975397,-29261.283049763548,279.6967117378156,21.61551659344689,1.331683782733516
4.399999999999804,-39463.743608009725,-29474.90163156455,278.09758070756936,21.798780166645823,1.3204882421331188
4.4999999999998375,-39585.4152325928,-29377.28890193712,284.20263758370845,21.833148785153696,1.3184095975416037
4.599999999999871,-39559.32093294038,-29347.59850545895,284.30275587866095,22.049933580492457,1.3054476013645007
4.699999999999904,-39538.54039201556,-29335.669774510825,284.0563142045201,22.140697742433932,1.3000960149386913
4.799999999999938,-39489.76292524086,-29278.345511247622,284.2942640521458,22.356043045583597,1.2875727982902982
4.899999999999971,-39164.26602013327,-29039.30262099491,281.88731313328134,22.496438977177547,1.2795373050864902
5.000000000000004,-39510.0461514757,-29004.168622551282,292.49227597087844,22.587935131014042,1.2743543283590164
5.100000000000038,-39185.73817882166,-28959.855690163204,284.69698363451965,22.913455734815177,1.2562501805069877
5.200000000000071,-39465.33730314083,-28839.524094319306,295.8313839974699,22.913455734815177,1.2562501805069877
5.300000000000105,-39315.52147234437,-28929.112703847088,289.1661673665714,22.98482440302902,1.252349480603691
5.400000000000138,-39128.36591182628,-28883.807731486784,285.2169302596425,23.017642215199853,1.250563921090582
5.500000000000171,-39166.07360407941,-28801.304814339594,288.56369254985015,23.295208435301852,1.235663247351727
5.600000000000205,-39127.90874279104,-28769.649000484984,288.3824753128264,23.63349325933082,1.2179762249719777
5.700000000000238,-39081.042632862576,-28571.764808981243,292.586942980672,23.7300244469952,1.2130216286627267
5.800000000000272,-38844.77940388396,-28483.565056023974,288.46473396287104,23.796688141810556,1.2096234875778955
5.900000000000305,-38760.54759786138,-28245.53012749215,292.74673946220264,23.848846000473685,1.206978019076005
6.000000000000338,-38922.23349074981,-28425.35907663926,292.2416218455581,23.945555441023288,1.2021033704478703
6.100000000000372,-38962.817516537885,-28376.05568925978,294.7441613988823,24.12323479664334,1.193249294531004
6.200000000000405,-38715.804947329336,-28268.18886692152,290.87022929928304,24.180233426668543,1.1904365187456474
6.300000000000439,-38956.248762983545,-28185.240048649164,299.8737463561854,24.180233426668543,1.1904365187456474
6.400000000000472,-38655.666484708694,-28211.07062629087,290.7861438336607,24.198783181127478,1.1895239809144516
6.500000000000505,-38552.544628295516,-28179.72367131331,288.78787151222076,24.518239703102115,1.1740252665552688
6.600000000000539,-38685.2434060597,-28182.312981538736,292.4102261590359,24.504438024596276,1.1746865149083412
6.700000000000572,-38522.27154367856,-27982.7195053791,293.4298020235277,24.778340180418983,1.1617014171775613
6.800000000000606,-38573.11835912087,-27965.55879097159,295.32318761974904,25.03877485964034,1.1496182646419588
6.900000000000639,-38671.21920450235,-27863.776753968687,300.8880915542624,25.03877485964034,1.1496182646419588
7.000000000000672,-38390.54959290084,-27765.98073978877,295.79674011050537,25.127415423412412,1.1455628212394677
7.100000000000706,-38428.63800265177,-27758.373587281316,297.06894216787066,25.32943237776629,1.1364262915014
7.200000000000739,-38208.58841513898,-27645.02772747224,294.09822257926794,25.34935168660006,1.13553329721314
7.3000000000007725,-38318.063865089454,-27681.56964632386,296.1287521039997,25.29734511073904,1.1378677397526915
7.400000000000806,-38284.95464678586,-27695.188938554304,294.8277919165997,25.463945557494228,1.1304231246453003
7.500000000000839,-38538.98443364627,-27982.211733216576,293.9092394285736,25.78130095054797,1.1165081606282798
7.600000000000873,-38380.97821525613,-27925.06900064028,291.10111698027515,25.87391927692801,1.112511506077407
7.700000000000906,-38342.9298985671,-27946.725505555914,289.43888561411796,25.977915928524396,1.1080578204232987
7.8000000000009395,-38379.57685207518,-27844.199019200896,293.3135887094263,26.089340206744904,1.10332544536556
7.900000000000973,-38393.42079565284,-27883.17683841971,292.6138409282429,26.41616069762672,1.0896751133667406
8.000000000001005,-38451.8295963935,-27786.072875025915,296.94344425732965,26.57302221457935,1.0832427215263252
8.10000000000095,-38282.20816020536,-27571.368279598177,298.198596510689,26.659263207911824,1.0797385013385417
8.200000000000895,-37967.86273225684,-27669.06952410991,286.72687806524624,26.806533284689024,1.073806620095164
8.30000000000084,-38020.76729377786,-27491.392116135303,293.14646984803073,26.805133183006507,1.0738627078021425
8.400000000000784,-38074.15658361631,-27327.348128043846,299.1999912372181,27.176788550714214,1.0591771301154698
8.500000000000728,-37843.68673256738,-27348.617433396576,292.1913659601585,27.153566120905403,1.0600829657044188
8.600000000000673,-37928.00940432473,-27496.068780449947,290.43381168965385,27.296299287918327,1.0545397601073725
8.700000000000617,-38007.17252579185,-27402.041093356405,295.2555863232986,27.559084774984473,1.0444843556281218
8.800000000000562,-38036.25738152272,-27308.10621797815,298.6805568735804,27.716959096578606,1.0385350284134767
8.900000000000507,-37935.732899127215,-27298.52259230636,296.1486885847461,27.90074237374935,1.0316941577147092
9.000000000000451,-37862.90247215995,-27328.456452067374,293.28764627477005,27.900348203620503,1.031708733268251
9.100000000000396,-37772.001762951186,-27088.227581250525,297.445065180049,28.001943816780102,1.0279655259379195
9.20000000000034,-37478.27902080765,-26884.939614965457,294.92728659897057,28.04807038344733,1.026274981108434
9.300000000000285,-37613.15101492674,-26871.346458398846,299.06067856997583,28.138997349742546,1.0229587268205846
9.40000000000023,-37825.39913594297,-26813.995926776006,306.5665269193385,28.058449222953627,1.0258953612928976
9.500000000000174,-37461.43305492533,-26834.373872762317,295.8660729206416,28.216017649465325,1.0201663913208494
9.600000000000119,-37326.49617173737,-26686.276162218885,296.2324811846124,28.498897916506344,1.0100402123349606
9.700000000000063,-37376.22282684629,-26637.23895765385,298.98214831333826,28.461859400558687,1.011354616639537
